date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:51:31	5087/5087	---M-Z	200	added ('OK')	text/html	etag:%2213df-5ff942032dc00-gzip%22	https://fito.dexignzone.com/xhtml/page-login.html	C:/Users/Orange/Desktop/Angular%20Temp/Temp/admin%202/fito.dexignzone.com/xhtml/page-login.html	(from https://fito.dexignzone.com/xhtml/index.html)
12:51:32	102820/102820	---M-Z	200	added ('OK')	text/html	etag:%22191a4-5ff941fd74e80-gzip%22	https://fito.dexignzone.com/xhtml/index-2.html	C:/Users/Orange/Desktop/Angular%20Temp/Temp/admin%202/fito.dexignzone.com/xhtml/index-2.html	(from https://fito.dexignzone.com/xhtml/index.html)
12:51:32	80691/80691	---M-Z	200	added ('OK')	text/html	etag:%2213b33-5ff9421828d80-gzip%22	https://fito.dexignzone.com/xhtml/workout-statistic.html	C:/Users/Orange/Desktop/Angular%20Temp/Temp/admin%202/fito.dexignzone.com/xhtml/workout-statistic.html	(from https://fito.dexignzone.com/xhtml/index.html)
12:51:32	86835/86835	---M-Z	200	added ('OK')	text/html	etag:%2215333-5ff9421640900-gzip%22	https://fito.dexignzone.com/xhtml/workout-plan.html	C:/Users/Orange/Desktop/Angular%20Temp/Temp/admin%202/fito.dexignzone.com/xhtml/workout-plan.html	(from https://fito.dexignzone.com/xhtml/index.html)
12:51:33	83550/83550	---M-Z	200	added ('OK')	text/html	etag:%221465e-5ff941f2f75c0-gzip%22	https://fito.dexignzone.com/xhtml/distance-map.html	C:/Users/Orange/Desktop/Angular%20Temp/Temp/admin%202/fito.dexignzone.com/xhtml/distance-map.html	(from https://fito.dexignzone.com/xhtml/index.html)
12:51:33	74673/74673	---M-Z	200	added ('OK')	text/html	etag:%22123b1-5ff941f9a4580-gzip%22	https://fito.dexignzone.com/xhtml/food-menu.html	C:/Users/Orange/Desktop/Angular%20Temp/Temp/admin%202/fito.dexignzone.com/xhtml/food-menu.html	(from https://fito.dexignzone.com/xhtml/index.html)
12:51:33	85832/85832	---M-Z	200	added ('OK')	text/html	etag:%2214f48-5ff9420421e40-gzip%22	https://fito.dexignzone.com/xhtml/personal-record.html	C:/Users/Orange/Desktop/Angular%20Temp/Temp/admin%202/fito.dexignzone.com/xhtml/personal-record.html	(from https://fito.dexignzone.com/xhtml/index.html)
12:51:33	72331/72331	---M-Z	200	added ('OK')	text/html	etag:%2211a8b-5ff9420516080-gzip%22	https://fito.dexignzone.com/xhtml/post-details.html	C:/Users/Orange/Desktop/Angular%20Temp/Temp/admin%202/fito.dexignzone.com/xhtml/post-details.html	(from https://fito.dexignzone.com/xhtml/index.html)
12:51:34	63365/63365	---M-Z	200	added ('OK')	text/html	etag:%22f785-5ff941f7bc100-gzip%22	https://fito.dexignzone.com/xhtml/email-compose.html	C:/Users/Orange/Desktop/Angular%20Temp/Temp/admin%202/fito.dexignzone.com/xhtml/email-compose.html	(from https://fito.dexignzone.com/xhtml/index.html)
12:51:34	69791/69791	---M-Z	200	added ('OK')	text/html	etag:%221109f-5ff941f8b0340-gzip%22	https://fito.dexignzone.com/xhtml/email-read.html	C:/Users/Orange/Desktop/Angular%20Temp/Temp/admin%202/fito.dexignzone.com/xhtml/email-read.html	(from https://fito.dexignzone.com/xhtml/index.html)
12:51:34	64193/64193	---M-Z	200	added ('OK')	text/html	etag:%22fac1-5ff941ed3e840-gzip%22	https://fito.dexignzone.com/xhtml/app-calender.html	C:/Users/Orange/Desktop/Angular%20Temp/Temp/admin%202/fito.dexignzone.com/xhtml/app-calender.html	(from https://fito.dexignzone.com/xhtml/index.html)
12:51:34	75466/75466	---M-Z	200	added ('OK')	text/html	etag:%22126ca-5ff941f5d3c80-gzip%22	https://fito.dexignzone.com/xhtml/ecom-product-grid.html	C:/Users/Orange/Desktop/Angular%20Temp/Temp/admin%202/fito.dexignzone.com/xhtml/ecom-product-grid.html	(from https://fito.dexignzone.com/xhtml/index.html)
12:51:35	76194/76194	---M-Z	200	added ('OK')	text/html	etag:%22129a2-5ff941f6c7ec0-gzip%22	https://fito.dexignzone.com/xhtml/ecom-product-list.html	C:/Users/Orange/Desktop/Angular%20Temp/Temp/admin%202/fito.dexignzone.com/xhtml/ecom-product-list.html	(from https://fito.dexignzone.com/xhtml/index.html)
12:51:35	67565/67565	---M-Z	200	added ('OK')	text/html	etag:%22107ed-5ff941f4dfa40-gzip%22	https://fito.dexignzone.com/xhtml/ecom-product-detail.html	C:/Users/Orange/Desktop/Angular%20Temp/Temp/admin%202/fito.dexignzone.com/xhtml/ecom-product-detail.html	(from https://fito.dexignzone.com/xhtml/index.html)
12:51:35	100906/100906	---M-Z	200	added ('OK')	text/html	etag:%2218a2a-5ff941f6c7ec0-gzip%22	https://fito.dexignzone.com/xhtml/ecom-product-order.html	C:/Users/Orange/Desktop/Angular%20Temp/Temp/admin%202/fito.dexignzone.com/xhtml/ecom-product-order.html	(from https://fito.dexignzone.com/xhtml/index.html)
12:51:35	73920/73920	---M-Z	200	added ('OK')	text/html	etag:%22120c0-5ff941f2f75c0-gzip%22	https://fito.dexignzone.com/xhtml/ecom-checkout.html	C:/Users/Orange/Desktop/Angular%20Temp/Temp/admin%202/fito.dexignzone.com/xhtml/ecom-checkout.html	(from https://fito.dexignzone.com/xhtml/index.html)
12:51:36	65981/65981	---M-Z	200	added ('OK')	text/html	etag:%22101bd-5ff941f3eb800-gzip%22	https://fito.dexignzone.com/xhtml/ecom-invoice.html	C:/Users/Orange/Desktop/Angular%20Temp/Temp/admin%202/fito.dexignzone.com/xhtml/ecom-invoice.html	(from https://fito.dexignzone.com/xhtml/index.html)
12:51:36	112726/112726	---M-Z	200	added ('OK')	text/html	etag:%221b856-5ff941f3eb800-gzip%22	https://fito.dexignzone.com/xhtml/ecom-customers.html	C:/Users/Orange/Desktop/Angular%20Temp/Temp/admin%202/fito.dexignzone.com/xhtml/ecom-customers.html	(from https://fito.dexignzone.com/xhtml/index.html)
12:51:36	63384/63384	---M-Z	200	added ('OK')	text/html	etag:%22f798-5ff941f01af00-gzip%22	https://fito.dexignzone.com/xhtml/chart-flot.html	C:/Users/Orange/Desktop/Angular%20Temp/Temp/admin%202/fito.dexignzone.com/xhtml/chart-flot.html	(from https://fito.dexignzone.com/xhtml/index.html)
12:51:36	61623/61623	---M-Z	200	added ('OK')	text/html	etag:%22f0b7-5ff941f01af00-gzip%22	https://fito.dexignzone.com/xhtml/chart-morris.html	C:/Users/Orange/Desktop/Angular%20Temp/Temp/admin%202/fito.dexignzone.com/xhtml/chart-morris.html	(from https://fito.dexignzone.com/xhtml/index.html)
12:51:36	65987/65987	---M-Z	200	added ('OK')	text/html	etag:%22101c3-5ff941ef26cc0-gzip%22	https://fito.dexignzone.com/xhtml/chart-chartjs.html	C:/Users/Orange/Desktop/Angular%20Temp/Temp/admin%202/fito.dexignzone.com/xhtml/chart-chartjs.html	(from https://fito.dexignzone.com/xhtml/index.html)
12:51:37	71351/71351	---M-Z	200	added ('OK')	text/html	etag:%22116b7-5ff941ef26cc0-gzip%22	https://fito.dexignzone.com/xhtml/chart-chartist.html	C:/Users/Orange/Desktop/Angular%20Temp/Temp/admin%202/fito.dexignzone.com/xhtml/chart-chartist.html	(from https://fito.dexignzone.com/xhtml/index.html)
12:51:37	63078/63078	---M-Z	200	added ('OK')	text/html	etag:%22f666-5ff941f203380-gzip%22	https://fito.dexignzone.com/xhtml/chart-sparkline.html	C:/Users/Orange/Desktop/Angular%20Temp/Temp/admin%202/fito.dexignzone.com/xhtml/chart-sparkline.html	(from https://fito.dexignzone.com/xhtml/index.html)
12:51:37	71420/71420	---M-Z	200	added ('OK')	text/html	etag:%22116fc-5ff941f10f140-gzip%22	https://fito.dexignzone.com/xhtml/chart-peity.html	C:/Users/Orange/Desktop/Angular%20Temp/Temp/admin%202/fito.dexignzone.com/xhtml/chart-peity.html	(from https://fito.dexignzone.com/xhtml/index.html)
12:51:37	95466/95466	---M-Z	200	added ('OK')	text/html	etag:%22174ea-5ff9420acee00-gzip%22	https://fito.dexignzone.com/xhtml/ui-accordion.html	C:/Users/Orange/Desktop/Angular%20Temp/Temp/admin%202/fito.dexignzone.com/xhtml/ui-accordion.html	(from https://fito.dexignzone.com/xhtml/index.html)
12:51:38	137698/137698	---M-Z	200	added ('OK')	text/html	etag:%22219e2-5ff9420bc3040-gzip%22	https://fito.dexignzone.com/xhtml/ui-alert.html	C:/Users/Orange/Desktop/Angular%20Temp/Temp/admin%202/fito.dexignzone.com/xhtml/ui-alert.html	(from https://fito.dexignzone.com/xhtml/index.html)
12:51:38	75501/75501	---M-Z	200	added ('OK')	text/html	etag:%22126ed-5ff9420bc3040-gzip%22	https://fito.dexignzone.com/xhtml/ui-badge.html	C:/Users/Orange/Desktop/Angular%20Temp/Temp/admin%202/fito.dexignzone.com/xhtml/ui-badge.html	(from https://fito.dexignzone.com/xhtml/index.html)
12:51:38	87739/87739	---M-Z	200	added ('OK')	text/html	etag:%22156bb-5ff9420cb7280-gzip%22	https://fito.dexignzone.com/xhtml/ui-button.html	C:/Users/Orange/Desktop/Angular%20Temp/Temp/admin%202/fito.dexignzone.com/xhtml/ui-button.html	(from https://fito.dexignzone.com/xhtml/index.html)
12:51:38	77665/77665	---M-Z	200	added ('OK')	text/html	etag:%2212f61-5ff942117bdc0-gzip%22	https://fito.dexignzone.com/xhtml/ui-modal.html	C:/Users/Orange/Desktop/Angular%20Temp/Temp/admin%202/fito.dexignzone.com/xhtml/ui-modal.html	(from https://fito.dexignzone.com/xhtml/index.html)
12:51:39	67908/67908	---M-Z	200	added ('OK')	text/html	etag:%2210944-5ff9420cb7280-gzip%22	https://fito.dexignzone.com/xhtml/ui-button-group.html	C:/Users/Orange/Desktop/Angular%20Temp/Temp/admin%202/fito.dexignzone.com/xhtml/ui-button-group.html	(from https://fito.dexignzone.com/xhtml/index.html)
12:51:39	76102/76102	---M-Z	200	added ('OK')	text/html	etag:%2212946-5ff9421087b80-gzip%22	https://fito.dexignzone.com/xhtml/ui-list-group.html	C:/Users/Orange/Desktop/Angular%20Temp/Temp/admin%202/fito.dexignzone.com/xhtml/ui-list-group.html	(from https://fito.dexignzone.com/xhtml/index.html)
12:51:39	71112/71112	---M-Z	200	added ('OK')	text/html	etag:%22115c8-5ff9421087b80-gzip%22	https://fito.dexignzone.com/xhtml/ui-media-object.html	C:/Users/Orange/Desktop/Angular%20Temp/Temp/admin%202/fito.dexignzone.com/xhtml/ui-media-object.html	(from https://fito.dexignzone.com/xhtml/index.html)
12:51:39	71758/71758	---M-Z	200	added ('OK')	text/html	etag:%221184e-5ff9420dab4c0-gzip%22	https://fito.dexignzone.com/xhtml/ui-card.html	C:/Users/Orange/Desktop/Angular%20Temp/Temp/admin%202/fito.dexignzone.com/xhtml/ui-card.html	(from https://fito.dexignzone.com/xhtml/index.html)
12:51:40	70285/70285	---M-Z	200	added ('OK')	text/html	etag:%221128d-5ff9420e9f700-gzip%22	https://fito.dexignzone.com/xhtml/ui-carousel.html	C:/Users/Orange/Desktop/Angular%20Temp/Temp/admin%202/fito.dexignzone.com/xhtml/ui-carousel.html	(from https://fito.dexignzone.com/xhtml/index.html)
12:51:40	93572/93572	---M-Z	200	added ('OK')	text/html	etag:%2216d84-5ff9420f93940-gzip%22	https://fito.dexignzone.com/xhtml/ui-dropdown.html	C:/Users/Orange/Desktop/Angular%20Temp/Temp/admin%202/fito.dexignzone.com/xhtml/ui-dropdown.html	(from https://fito.dexignzone.com/xhtml/index.html)
12:51:41	61418/61418	---M-Z	200	added ('OK')	text/html	etag:%22efea-5ff9421270000-gzip%22	https://fito.dexignzone.com/xhtml/ui-popover.html	C:/Users/Orange/Desktop/Angular%20Temp/Temp/admin%202/fito.dexignzone.com/xhtml/ui-popover.html	(from https://fito.dexignzone.com/xhtml/index.html)
12:51:41	79833/79833	---M-Z	200	added ('OK')	text/html	etag:%22137d9-5ff9421364240-gzip%22	https://fito.dexignzone.com/xhtml/ui-progressbar.html	C:/Users/Orange/Desktop/Angular%20Temp/Temp/admin%202/fito.dexignzone.com/xhtml/ui-progressbar.html	(from https://fito.dexignzone.com/xhtml/index.html)
12:51:41	88546/88546	---M-Z	200	added ('OK')	text/html	etag:%22159e2-5ff9421458480-gzip%22	https://fito.dexignzone.com/xhtml/ui-tab.html	C:/Users/Orange/Desktop/Angular%20Temp/Temp/admin%202/fito.dexignzone.com/xhtml/ui-tab.html	(from https://fito.dexignzone.com/xhtml/index.html)
12:51:41	72612/72612	---M-Z	200	added ('OK')	text/html	etag:%2211ba4-5ff9421458480-gzip%22	https://fito.dexignzone.com/xhtml/ui-typography.html	C:/Users/Orange/Desktop/Angular%20Temp/Temp/admin%202/fito.dexignzone.com/xhtml/ui-typography.html	(from https://fito.dexignzone.com/xhtml/index.html)
12:51:41	77438/77438	---M-Z	200	added ('OK')	text/html	etag:%2212e7e-5ff9421270000-gzip%22	https://fito.dexignzone.com/xhtml/ui-pagination.html	C:/Users/Orange/Desktop/Angular%20Temp/Temp/admin%202/fito.dexignzone.com/xhtml/ui-pagination.html	(from https://fito.dexignzone.com/xhtml/index.html)
12:51:42	66711/66711	---M-Z	200	added ('OK')	text/html	etag:%2210497-5ff9420f93940-gzip%22	https://fito.dexignzone.com/xhtml/ui-grid.html	C:/Users/Orange/Desktop/Angular%20Temp/Temp/admin%202/fito.dexignzone.com/xhtml/ui-grid.html	(from https://fito.dexignzone.com/xhtml/index.html)
12:51:42	96861/96861	---M-Z	200	added ('OK')	text/html	etag:%2217a5d-5ff94208e6980-gzip%22	https://fito.dexignzone.com/xhtml/uc-select2.html	C:/Users/Orange/Desktop/Angular%20Temp/Temp/admin%202/fito.dexignzone.com/xhtml/uc-select2.html	(from https://fito.dexignzone.com/xhtml/index.html)
12:51:42	65780/65780	---M-Z	200	added ('OK')	text/html	etag:%22100f4-5ff94207f2740-gzip%22	https://fito.dexignzone.com/xhtml/uc-nestable.html	C:/Users/Orange/Desktop/Angular%20Temp/Temp/admin%202/fito.dexignzone.com/xhtml/uc-nestable.html	(from https://fito.dexignzone.com/xhtml/index.html)
12:51:43	88429/88429	---M-Z	200	added ('OK')	text/html	etag:%221596d-5ff94207f2740-gzip%22	https://fito.dexignzone.com/xhtml/uc-noui-slider.html	C:/Users/Orange/Desktop/Angular%20Temp/Temp/admin%202/fito.dexignzone.com/xhtml/uc-noui-slider.html	(from https://fito.dexignzone.com/xhtml/index.html)
12:51:43	66063/66063	---M-Z	200	added ('OK')	text/html	etag:%221020f-5ff94208e6980-gzip%22	https://fito.dexignzone.com/xhtml/uc-sweetalert.html	C:/Users/Orange/Desktop/Angular%20Temp/Temp/admin%202/fito.dexignzone.com/xhtml/uc-sweetalert.html	(from https://fito.dexignzone.com/xhtml/index.html)
